2016-05-03T10:31:20.456+0100 I CONTROL  [initandlisten] MongoDB starting : pid=31170 port=47019 dbpath=/data/shard1/rs2 64-bit host=Sulianas-MacBook-Pro.local
2016-05-03T10:31:20.460+0100 I CONTROL  [initandlisten] db version v3.2.1
2016-05-03T10:31:20.460+0100 I CONTROL  [initandlisten] git version: a14d55980c2cdc565d4704a7e3ad37e4e535c1b2
2016-05-03T10:31:20.460+0100 I CONTROL  [initandlisten] allocator: system
2016-05-03T10:31:20.460+0100 I CONTROL  [initandlisten] modules: none
2016-05-03T10:31:20.460+0100 I CONTROL  [initandlisten] build environment:
2016-05-03T10:31:20.460+0100 I CONTROL  [initandlisten]     distarch: x86_64
2016-05-03T10:31:20.460+0100 I CONTROL  [initandlisten]     target_arch: x86_64
2016-05-03T10:31:20.460+0100 I CONTROL  [initandlisten] options: { net: { port: 47019 }, processManagement: { fork: true }, replication: { replSet: "s1" }, sharding: { clusterRole: "shardsvr" }, storage: { dbPath: "/data/shard1/rs2", mmapv1: { smallFiles: true } }, systemLog: { destination: "file", path: "s1-r2.log" } }
2016-05-03T10:31:20.460+0100 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=9G,session_max=20000,eviction=(threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2016-05-03T10:31:20.744+0100 W STORAGE  [initandlisten] Detected configuration for non-active storage engine mmapv1 when current storage engine is wiredTiger
2016-05-03T10:31:20.786+0100 I REPL     [initandlisten] Did not find local voted for document at startup;  NoMatchingDocument Did not find replica set lastVote document in local.replset.election
2016-05-03T10:31:20.786+0100 I REPL     [initandlisten] Did not find local replica set configuration document at startup;  NoMatchingDocument Did not find replica set configuration document in local.system.replset
2016-05-03T10:31:20.786+0100 I NETWORK  [HostnameCanonicalizationWorker] Starting hostname canonicalization worker
2016-05-03T10:31:20.786+0100 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/shard1/rs2/diagnostic.data'
2016-05-03T10:31:20.840+0100 I NETWORK  [initandlisten] waiting for connections on port 47019
2016-05-03T10:31:25.798+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53382 #1 (1 connection now open)
2016-05-03T10:31:25.798+0100 I NETWORK  [conn1] end connection 127.0.0.1:53382 (0 connections now open)
2016-05-03T10:31:25.800+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53386 #2 (1 connection now open)
2016-05-03T10:31:25.802+0100 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to localhost:47017
2016-05-03T10:31:27.808+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53394 #3 (2 connections now open)
2016-05-03T10:31:27.809+0100 I NETWORK  [conn3] end connection 127.0.0.1:53394 (1 connection now open)
2016-05-03T10:31:27.851+0100 I REPL     [replExecDBWorker-0] Starting replication applier threads
2016-05-03T10:31:27.852+0100 W REPL     [rsSync] did not receive a valid config yet
2016-05-03T10:31:27.852+0100 I REPL     [ReplicationExecutor] New replica set config in use: { _id: "s1", version: 1, protocolVersion: 1, members: [ { _id: 0, host: "localhost:47017", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 1, host: "localhost:47018", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 2, host: "localhost:47019", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 } ], settings: { chainingAllowed: true, heartbeatIntervalMillis: 2000, heartbeatTimeoutSecs: 10, electionTimeoutMillis: 10000, getLastErrorModes: {}, getLastErrorDefaults: { w: 1, wtimeout: 0 } } }
2016-05-03T10:31:27.852+0100 I REPL     [ReplicationExecutor] This node is localhost:47019 in the config
2016-05-03T10:31:27.852+0100 I REPL     [ReplicationExecutor] transition to STARTUP2
2016-05-03T10:31:27.853+0100 I REPL     [ReplicationExecutor] Member localhost:47017 is now in state SECONDARY
2016-05-03T10:31:27.855+0100 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to localhost:47018
2016-05-03T10:31:27.855+0100 I REPL     [ReplicationExecutor] Member localhost:47018 is now in state STARTUP
2016-05-03T10:31:27.856+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53398 #4 (2 connections now open)
2016-05-03T10:31:28.856+0100 I REPL     [rsSync] ******
2016-05-03T10:31:28.856+0100 I REPL     [rsSync] creating replication oplog of size: 192MB...
2016-05-03T10:31:28.888+0100 I STORAGE  [rsSync] Starting WiredTigerRecordStoreThread local.oplog.rs
2016-05-03T10:31:28.888+0100 I STORAGE  [rsSync] The size storer reports that the oplog contains 0 records totaling to 0 bytes
2016-05-03T10:31:28.888+0100 I STORAGE  [rsSync] Scanning the oplog to determine where to place markers for truncation
2016-05-03T10:31:29.316+0100 I REPL     [rsSync] ******
2016-05-03T10:31:29.316+0100 I REPL     [rsSync] initial sync pending
2016-05-03T10:31:29.394+0100 I REPL     [ReplicationExecutor] syncing from: localhost:47017
2016-05-03T10:31:29.410+0100 I REPL     [rsSync] initial sync drop all databases
2016-05-03T10:31:29.410+0100 I STORAGE  [rsSync] dropAllDatabasesExceptLocal 1
2016-05-03T10:31:29.410+0100 I REPL     [rsSync] initial sync clone all databases
2016-05-03T10:31:29.410+0100 I REPL     [rsSync] initial sync data copy, starting syncup
2016-05-03T10:31:29.410+0100 I REPL     [rsSync] oplog sync 1 of 3
2016-05-03T10:31:29.410+0100 I REPL     [rsSync] oplog sync 2 of 3
2016-05-03T10:31:29.410+0100 I REPL     [rsSync] initial sync building indexes
2016-05-03T10:31:29.410+0100 I REPL     [rsSync] oplog sync 3 of 3
2016-05-03T10:31:29.411+0100 I REPL     [rsSync] initial sync finishing up
2016-05-03T10:31:29.411+0100 I REPL     [rsSync] set minValid=(term: -1, timestamp: May  3 10:31:26:1)
2016-05-03T10:31:29.429+0100 I REPL     [rsSync] initial sync done
2016-05-03T10:31:29.431+0100 I REPL     [ReplicationExecutor] transition to RECOVERING
2016-05-03T10:31:29.431+0100 I REPL     [ReplicationExecutor] transition to SECONDARY
2016-05-03T10:31:29.858+0100 I REPL     [ReplicationExecutor] could not find member to sync from
2016-05-03T10:31:29.858+0100 W REPL     [ReplicationExecutor] The liveness timeout does not match callback handle, so not resetting it.
2016-05-03T10:31:29.859+0100 I REPL     [ReplicationExecutor] Member localhost:47018 is now in state SECONDARY
2016-05-03T10:31:39.863+0100 I REPL     [ReplicationExecutor] Member localhost:47017 is now in state PRIMARY
2016-05-03T10:31:39.887+0100 I REPL     [ReplicationExecutor] syncing from: localhost:47017
2016-05-03T10:31:39.888+0100 I REPL     [SyncSourceFeedback] setting syncSourceFeedback to localhost:47017
2016-05-03T10:31:39.890+0100 I ASIO     [NetworkInterfaceASIO-BGSync-0] Successfully connected to localhost:47017
2016-05-03T10:32:46.604+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53548 #5 (3 connections now open)
2016-05-03T10:32:47.072+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53553 #6 (4 connections now open)
2016-05-03T10:32:47.079+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53562 #7 (5 connections now open)
2016-05-03T10:32:47.082+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53570 #8 (6 connections now open)
2016-05-03T10:35:57.056+0100 I INDEX    [repl writer worker 3] build index on: school.students properties: { v: 1, key: { student_id: 1.0 }, name: "student_id_1", ns: "school.students" }
2016-05-03T10:35:57.056+0100 I INDEX    [repl writer worker 3] 	 building index using bulk method
2016-05-03T10:35:57.077+0100 I INDEX    [repl writer worker 3] build index done.  scanned 0 total records. 0 secs
2016-05-03T10:46:20.825+0100 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.1.4, "nodename nor servname provided, or not known"), (192.168.1.4, "nodename nor servname provided, or not known") ]
